Designator,Val,Package,Mid X,Mid Y, Rotation,Layer
J1,Micro_SD_Card,Conn_uSDcard,165.1,-86.36,90,top
R1,330,R_0805_2012Metric,86.58,-86.420588,0,top
R2,330,R_0805_2012Metric,86.58,-82.39,0,top
R3,330,R_0805_2012Metric,86.58,-84.405294,0,top
R4,330,R_0805_2012Metric,86.58,-90.451176,0,top
R5,330,R_0805_2012Metric,86.58,-96.497058,0,top
R6,330,R_0805_2012Metric,86.58,-88.435882,0,top
R7,330,R_0805_2012Metric,86.58,-92.46647,0,top
R8,330,R_0805_2012Metric,86.58,-94.481764,0,top
R9,330,R_0805_2012Metric,86.58,-98.512352,0,top
R10,330,R_0805_2012Metric,86.58,-100.527646,0,top
R11,330,R_0805_2012Metric,86.58,-116.65,0,top
R12,330,R_0805_2012Metric,86.58,-114.634704,0,top
R13,330,R_0805_2012Metric,86.58,-112.61941,0,top
R14,330,R_0805_2012Metric,86.58,-110.604116,0,top
R15,330,R_0805_2012Metric,86.58,-108.588822,0,top
R16,330,R_0805_2012Metric,86.58,-106.573528,0,top
R17,330,R_0805_2012Metric,86.58,-104.558234,0,top
R18,330,R_0805_2012Metric,86.58,-102.54294,0,top
R19,220,R_0805_2012Metric,91.617644,-86.420588,180,top
R20,220,R_0805_2012Metric,91.617644,-82.39,180,top
R21,220,R_0805_2012Metric,91.617644,-84.405294,180,top
R22,220,R_0805_2012Metric,91.617644,-90.451176,180,top
R23,220,R_0805_2012Metric,91.617644,-96.497058,180,top
R24,220,R_0805_2012Metric,91.617644,-88.435882,180,top
R25,220,R_0805_2012Metric,91.617644,-92.46647,180,top
R26,220,R_0805_2012Metric,91.617644,-94.481764,180,top
R27,220,R_0805_2012Metric,91.617644,-98.512352,180,top
R28,220,R_0805_2012Metric,91.617644,-100.527646,180,top
R29,220,R_0805_2012Metric,91.617644,-116.65,180,top
R30,220,R_0805_2012Metric,91.617644,-114.634704,180,top
R31,220,R_0805_2012Metric,91.617644,-112.61941,180,top
R32,220,R_0805_2012Metric,91.617644,-110.604116,180,top
R33,220,R_0805_2012Metric,91.617644,-108.588822,180,top
R34,220,R_0805_2012Metric,91.617644,-106.573528,180,top
R35,220,R_0805_2012Metric,91.617644,-104.558234,180,top
R36,220,R_0805_2012Metric,91.617644,-102.54294,180,top
U1,YAAJ_BluePill_Part_Like,YAAJ_BluePill_2,118.11,-118.11,90,top
